gene_name,logFC,P.Value
FNDC10,-0.028388152588488192,0.6744304715169978
MIB2,0.15438740635754386,0.005386528772081695
CDK11B,0.04950313776983128,0.34747228282326725
SLC35E2B,-0.011565427125424658,0.8352713209171091
CDK11A,0.050242233715613295,0.6027499801421504
NADK,-0.040649832352399856,0.3087556883896116
GNB1,-0.18900415310796748,0.0026506711432525173
GNB1-DT,-0.025952847631690715,0.8173276184589019
CFAP74,0.3734221019052402,0.002233143146145178
GABRD,-0.10992207303269631,0.3124871633104532
PRKCZ,-0.11481784644294421,0.0566517652166515
FAAP20,0.1735635063819886,0.006050128336958361
SKI,0.1404483229877875,0.01466868980553477
MORN1,0.271929851815291,9.888217803740271e-6
RER1,-0.018185729796023127,0.5787624565647715
PEX10,-0.06489312141902716,0.09568333816663531
PLCH2,0.33218492824002466,0.002689734264771223
PANK4,-0.016247603682477876,0.6777433593049151
HES5,0.0411686332256699,0.739934456508913
TNFRSF14,0.027077516014381815,0.7946711438014685
PRXL2B,-6.098558605986907e-4,0.9892721803425226
MMEL1,0.48432630740628263,0.0038694631626598527
TTC34,0.6551961087197302,2.8059557226593847e-5
PRDM16-DT,0.21340342918268315,0.03586748928382614
LOC124903827,0.21340342918268315,0.03586748928382614
PRDM16,0.2920965619397473,0.005358465709851462
ARHGEF16,0.09231463053803969,0.48056918313869035
MEGF6,0.13987566898363601,0.17978518130710625
TPRG1L,-0.17697866391708011,0.027244885390930767
WRAP73,0.0014659729270708442,0.9752747987145425
TP73,0.2206231187358385,0.3947259048244717
SMIM1,-0.060201996112784976,0.6762017977961846
LRRC47,-0.050647268960959266,0.2829888845835168
CEP104,0.024146097884747114,0.5768502388021963
DFFB,0.15082750988165256,0.01942857108277083
C1orf174,-0.12974524236598564,0.00640897427448956
AJAP1,0.06576763760075034,0.3310785776363899
NPHP4,0.2471732966724768,5.987082241377217e-5
KCNAB2,-0.03747581866083915,0.6325692408087727
CHD5,0.09313418407149442,0.3190557170366218
RPL22,-0.1168356755049311,0.044388835089510165
RNF207,0.30581887039694267,0.008599859528146063
ICMT,-0.146316031432187,0.03516655850864646
GPR153,0.2079321532746735,0.016796329072440337
ACOT7,1.354885486500263e-4,0.9983393314283506
TNFRSF25,0.5166286933074976,2.8377535967545193e-5
PLEKHG5,0.44323714662857355,1.468085779988374e-6
NOL9,-0.06275349449768174,0.014068518980192362
ZBTB48,0.10081267975690981,0.050941771437259385
KLHL21,0.12716263076085682,0.08552709458153213
PHF13,0.13595938595405027,0.007437159638242283
THAP3,0.007980411572343195,0.8472134000423064
DNAJC11,-0.04936934505159589,0.10535226873521074
CAMTA1,-0.08626347646504046,0.23453427670208835
VAMP3,-0.10004999186133616,0.1213691209894098
PER3,0.1061502358320613,0.06992765437038534
PARK7,-0.19953954920335298,0.0048448847015957865
ERRFI1,-0.11896628622722548,0.005127051483117413
SLC45A1,-0.02896671059662358,0.6950278567604529
RERE,-0.0035202908318310642,0.9468746361346636
RPL7P7,0.20397485368612106,0.12549454461543305
ENO1,-0.1273991825270235,0.030252788115493305
SLC2A5,0.24600077424951028,0.07412939041231448
GPR157,-0.15048142981974036,0.3853388765874931
MIR34AHG,0.26512671391609177,0.00913109869820447
H6PD,0.2342080045814188,0.0018812122381806188
SPSB1,0.21159710324939401,0.02155003346063265
LINC02606,-0.11460618655464222,0.1702708246935809
SLC25A33,-0.3814834702307315,6.727568251824401e-6
RPL9P11,0.3726812396826041,0.014802901908989708
TMEM201,0.13951880884082077,0.013652033633584838
PIK3CD,0.12705958118815988,0.07041794779531786
CLSTN1,0.04618511606674304,0.48085096631886115
CTNNBIP1,-0.10883687275769832,0.0448536787426264
LZIC,-0.14672942725368496,0.002272056898359696
NMNAT1,-0.15103530899046816,0.0024819450854534756
RBP7,-0.2093146480872271,0.11849504671199726
UBE4B,0.011941862789192195,0.6837858243568768
KIF1B,-0.020744182869915133,0.5336644061762257
RNU6-37P,0.2154075486850591,0.1026300917952595
PGD,-0.01834421313893021,0.647545803057626
CENPS,-0.13784397748392338,0.22445756666435526
CORT,-0.08890054391964039,0.4902039252566024
DFFA,-0.0833692010766429,0.017797389478197746
PEX14,0.010748604610909892,0.8092279382067786
CASZ1,0.31387189859701825,0.0013595413538812157
C1orf127,-0.05100357849468565,0.7169259305266474
TARDBP,0.043519112059439855,0.2532672711277857
SRM,-0.05416723817641145,0.21144506128247537
EXOSC10,0.12757692532347298,0.01947179389739206
MTOR,-0.005190710737227668,0.9100791495603745
UBIAD1,0.01728271105447973,0.5834825089285854
DISP3,0.1464192888070865,0.05152959973574291
FBXO2,-0.10126897048962857,0.04527785597963613
FBXO44,-0.06996657901066032,0.23234522035842775
FBXO6,-0.010646637596615806,0.8700508593716767
MAD2L2,-0.02759311295598563,0.6284900502658435
DRAXIN,0.24336745643951505,0.04401633983906765
AGTRAP,0.10736364081166545,0.3191206609783313
MTHFR,0.09235301900168437,0.021871800852930157
CLCN6,0.03208484690151866,0.37308991408964076
NPPB,-0.001321854790778894,0.9944991615301506
KIAA2013,-0.016398293543541612,0.7502628474097964
PLOD1,0.18159424115370948,0.013480848801079833
MFN2,-0.0581725135675909,0.08379099051261299
MIIP,0.1303906177664792,0.008736654930206183
TNFRSF8,0.4468098236446623,0.003934122726843968
TNFRSF1B,0.39996102285247437,4.995355045457043e-4
VPS13D,0.0875270522804726,0.02929717879160542
DHRS3,-0.039191238681342645,0.624507312392351
CFAP107,0.221523241070493,0.5067559630283975
PDPN,0.18036717870761929,0.1844212125969713
PRDM2,0.0947732769165382,0.06858532891491893
KAZN,0.1299684234680145,0.011200662482548508
TMEM51-AS1,0.3485428414210746,8.167333550581815e-4
TMEM51,-0.04504717421292878,0.58203687754198
FHAD1,0.5503878065584991,0.015659639434862
EFHD2,0.1516902457494324,0.0724418466625799
CASP9,0.07733316720196676,0.1105117288247916
DNAJC16,-0.05867167309588036,0.08933594239318145
AGMAT,-0.24776706974252968,0.011870000618772953
DDI2,0.07612740753456941,0.028906876831285573
PLEKHM2,-0.02337199180519537,0.5351359179202082
SLC25A34,0.4259127824318371,1.4153964745063652e-4
FBLIM1,0.4792769950320152,3.387409140110106e-4
UQCRHL,-0.14187554950762457,0.06577541667105612
SPEN-AS1,-0.020748723037829864,0.6784266334636644
SPEN,0.2243647642985415,0.0025143329160357813
ZBTB17,-0.004959441297909571,0.9005108864352693
SRARP,0.28290412834351253,0.021329358798197015
HSPB7,0.1064540809939847,0.43953485933294256
FAM131C,0.12926989298371766,0.2711576520650958
EPHA2,0.6580454477846033,2.164156199053893e-4
ARHGEF19,0.37739860814990095,4.110643877084342e-4
CPLANE2,-0.034502750287543835,0.5393461738813119
FBXO42,0.0418545729522031,0.1278208457491917
SZRD1,-0.006205620881143734,0.8767008120190327
NECAP2,0.030230466357466398,0.602302980677822
LINC01772,0.014689908421596802,0.9137169545257198
CROCCP3,0.4492399693009209,3.548875213762532e-5
LOC124904613,-0.15300265424997128,0.2850837674847024
LOC124905321,-0.15300265424997128,0.2850837674847024
LOC124905573,-0.15300265424997128,0.2850837674847024
LOC124905809,-0.15300265424997128,0.2850837674847024
NBPF1,0.12717833379028534,0.15591277562015846
CROCC,0.2469627547330573,0.022007818080924498
